iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
ZAF,390284255.92083335,506546353.94763917,18,349554116683.818,1.2978908225557242,116262098.02680582,29.789082255572417,Sous-exploité
SAU,772675177.3003888,885020977.9950395,18,688586133333.333,1.1453984856704857,112345800.69465065,14.53984856704858,Équilibre
AZE,17105225.247277778,125249479.89364399,18,40865558912.3867,7.3222935145842,108144254.64636621,632.22935145842,Sous-exploité
FIN,388124949.02572227,484516013.84907955,18,254435041879.238,1.248350602210241,96391064.82335728,24.83506022102412,Équilibre
SVN,41143829.277166665,135947041.19624698,18,48441722815.6069,3.304190290126755,94803211.91908032,230.41902901267548,Sous-exploité
BRA,1651485357.3839998,1736387983.8470259,18,2062831045935.95,1.0514098572436115,84902626.46302605,5.140985724361144,Équilibre
LTU,37733704.18855556,118298882.57226393,18,47632961168.4141,3.1350985840436882,80565178.38370836,213.50985840436877,Sous-exploité
PRY,9247709.738055555,89437384.10384363,18,39008900331.6733,9.671300963934552,80189674.36578807,867.1300963934552,Sous-exploité
YEM,22475403.248555556,100873035.35170762,18,26818703092.5852,4.488152414270498,78397632.10315207,348.81524142704984,Sous-exploité
SDN,62790930.166666664,141134077.25849715,18,123053386001.137,2.247682537651272,78343147.09183049,124.76825376512724,Sous-exploité
PAK,282890564.35877776,352380569.02386737,18,304567253219.097,1.2456427093020976,69490004.6650896,24.56427093020977,Équilibre
TKM,12235339.949,81435109.66240406,18,37926285714.2857,6.655729223858614,69199769.71340406,565.5729223858614,Sous-exploité
IRL,314140213.8835556,382378297.7527308,18,334834010485.56,1.2172217400172443,68238083.8691752,21.72217400172442,Équilibre
BGR,72802049.2795,140387285.75325572,18,58220973782.7715,1.9283425005563237,67585236.47375573,92.83425005563237,Sous-exploité
URY,54278343.28761111,120437148.01229398,18,56488991831.0239,2.2188803253282683,66158804.72468287,121.88803253282686,Sous-exploité
MAC,15335971.552444445,77918666.86664926,18,50751059058.0613,5.080777999632477,62582695.31420481,408.0777999632477,Sous-exploité
COD,14277095.021055557,75488184.21960896,18,38019265625.8845,5.287363018056586,61211089.198553406,428.73630180565857,Sous-exploité
KEN,51417878.54477778,111464185.64661206,18,78757391333.0219,2.1678098902805245,60046307.10183428,116.78098902805247,Sous-exploité
BOL,19777978.185277775,78817806.913205,18,37508642257.5977,3.9851296312923923,59039828.72792722,298.5129631292392,Sous-exploité
BIH,2928728.1909444444,61933865.119778365,18,18080118128.3854,21.147017094749984,59005136.92883392,2014.7017094749983,Sous-exploité
CIV,19734217.191166665,76166430.55190808,18,38053606750.5179,3.8596124596217236,56432213.36074141,285.96124596217237,Sous-exploité
SYR,29334715.0,84087773.84197241,8,40405006007.2086,2.8664936353386223,54753058.84197241,186.6493635338622,Sous-exploité
ETH,44212801.48216667,98213001.18023136,18,81760441158.7556,2.2213702341355996,54000199.69806469,122.13702341355996,Sous-exploité
COL,490048245.8204444,543941447.0163099,18,311789874617.096,1.1099752966274512,53893201.19586545,10.99752966274511,Équilibre
TZA,41813081.99538889,95479599.64544603,18,53320625958.5628,2.2834862939779335,53666517.650057144,128.34862939779336,Sous-exploité
CMR,25132816.49572222,77743593.3945077,18,34922782310.6416,3.093310031835875,52610776.89878549,209.3310031835875,Sous-exploité
EST,22094188.804333333,73476643.0487269,18,26792757827.3154,3.3256094486852548,51382454.24439357,232.56094486852547,Sous-exploité
